Hugo_Symbol	Entrez_Gene_Id	GTEX-S32W-1526-SM-4AD6Z	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ	GTEX-TML8-0726-SM-4DXTT	GTEX-T5JW-0726-SM-4DM6D	GTEX-S341-1126-SM-4AD6T	GTEX-T6MO-1426-SM-4DM73	GTEX-S341-1326-SM-4AD72	GTEX-S4UY-1426-SM-4AD6Y	GTEX-TSE9-2726-SM-4DXSQ	GTEX-S32W-1626-SM-4AD6G
ENY2	56943	2645.74	2555.58	1359.57	2032.85	2468.49	1605.83	2193.99	1832.01	1909.85	2915.45	2875.3
IL12RB1	3594	22.92	1.22	29.48	65.26	9.06	23.25	38.67	34.02	14.35	0.87	48.87
INPP1	3628	575.03	3060.45	1407.55	775.05	6983.79	376.41	583.07	264.03	466.88	4481.23	532.74
COX6A1P2	0	100.13	59.97	204.07	68.55	217.27	78.89	107.38	108.9	53.19	80.01	92.05
IFT46	56912	529.06	954.43	358.54	974.5	329.84	507.46	713.11	1617	764.36	961.07	603.67
GNRHR	2798	0.58	0.97	17.13	3.06	11.13	0.84	1.45	1.23	0.82	0.96	2.46
FRAT1	10023	32.82	31.67	115.97	147.06	103.69	176.29	165.57	147.06	115.16	52.45	71.5
PPM1J	333926	19.53	105.15	283.05	42.71	336.79	44.57	121.79	126.12	32.36	72.01	48.18
C1orf85	112770	616.37	995	1508.65	2240.11	1044.52	1467.37	2133.97	1844.76	11664.82	941.27	836.53
C5orf42	65250	72.01	156.59	21.01	87.65	35	81.14	77.79	149.12	177.53	140.04	57.89
JMJD7	100137047	180.02	361.04	1427.22	116.78	2004.85	159.9	423.61	318.57	260.38	341.51	170.25
AGPAT1	10554	2591.27	1594.73	332.14	3146.52	447.82	1216.75	1208.34	947.83	1721.16	1529.73	2193.99
GARNL3	84253	116.78	961.07	34.75	201.25	102.25	514.56	120.94	186.4	191.67	1044.52	136.19
APOC1	341	4575.41	1572.76	373.81	463.65	902.89	2573.36	6699.25	3928.15	27938.14	4607.24	1540.37
CD27	939	50.27	4.35	102.25	1304.15	175.07	366.09	31.9	665.29	149.12	16.15	50.98
GIPC3	126326	62.12	36.79	5.87	165.57	34.75	142.01	50.98	40.07	169.07	22.26	61.25
RNASE7	84659	2.41	0	5006.93	12.93	133825.1	0	1.28	1.31	14.67	0	0
ANKRD6	22881	74.06	412	105.15	61.25	69.03	136.19	620.67	808	241.19	674.59	80.57
NR0B2	8431	0	2.53	3.41	0	0	0	0	3.99	2.71	17.13	7
CCDC103	388389	44.25	21.01	29.48	58.71	22.26	66.18	139.07	616.37	20.56	3	40.07
NUDT11	55190	507.46	229.72	10.79	267.73	22.75	718.08	49.21	178.77	1417.35	830.75	595.34
ZNF771	51333	124.37	133.36	24.63	136.19	46.18	96.68	108.9	65.72	105.89	81.71	125.24
FAM194A	131831	5.11	2.78	0	0	14.45	8.92	0.95	3.66	1.35	0.91	0
CCDC68	80323	50.98	9.48	5.59	57.49	20.86	209.84	285.03	153.34	64.8	24.81	77.79
RNASEL	6041	129.69	181.28	82.29	246.28	273.37	146.03	220.32	305.55	115.97	150.17	150.17
ZNF282	8427	358.54	281.09	305.55	563.18	441.64	351.14	708.18	842.36	403.5	346.29	316.37
GCNT6	0	1.41	0	0	0	2.18	1.23	1.99	10.39	1.46	1.62	0
TDP2	51567	595.34	587.13	532.74	536.45	713.11	656.11	698.41	909.17	575.03	759.08	1001.93
GXYLT1	283464	164.42	65.26	102.25	120.1	111.21	108.14	83.45	138.1	104.42	93.35	180.02
NME1	4830	3820.7	1277.29	2335.28	1883.54	2816.11	1277.29	1051.79	1259.69	1709.26	1119.56	3467.27
SLC2A14	144195	0.57	10.96	0	7.22	0.67	1.22	0	0.59	1.17	7.94	1.14
PTBP1	5725	3235.01	2796.65	4575.41	3349.13	3589.58	2758.13	3235.01	3168.41	2609.3	3212.66	3372.43
SMG9	56006	764.36	1437.15	607.87	665.29	559.28	473.41	860.08	575.03	412	1295.13	616.37
ERV3-1	2086	49.56	52.08	2119.22	126.12	67.12	27.25	158.79	100.13	125.24	49.56	55.1
SLC13A3	64849	180.02	262.2	17.25	145.02	40.64	75.11	97.36	109.66	29.27	127.89	55.89
OTUD5	55593	1015.93	988.12	493.56	1216.75	713.11	1073.91	1191.69	1208.34	954.43	921.88	1044.52
SEZ6L2	26470	583.07	107.38	103.69	1857.6	258.57	165.57	1331.57	1388.16	309.83	76.17	332.14
NR1I2	8856	0	0.88	0	1.03	0.52	5.54	5.23	7.17	0	0.84	1.48
AP000295.9	0	0	0	7.46	0	0	0	0	0	17.51	13.22	0
ARRDC5	645432	0.19	1.07	3.38	5.02	8.85	3.72	1.46	10.16	0.21	0.45	1.11
POLR2I	5438	2645.74	3690.52	1159.07	1467.37	2485.67	1806.78	2104.58	2400.97	2997.45	2032.85	2956.17
AJAP1	55966	102.97	54.33	0.99	116.78	10.71	61.68	63.89	151.22	206.94	35.25	181.28
TSC22D1	8848	10154.69	12160.22	450.94	9344.14	1628.26	9673.69	11745.96	17558.94	15285.81	12415.75	22380.2
ARHGDIG	398	3.86	39.79	0	30.56	0	10.31	0.08	3.44	2.58	17.51	3.63
CALML5	51806	0	0	1336472.68	6.21	1327240.99	0	0	0.39	0	0	0
TEX29	121793	7.46	8.19	2.25	7.22	0	19.82	10.47	4.17	7.34	8	5.92
C21orf2	755	518.15	1119.56	113.56	1119.56	521.76	693.58	1030.12	909.17	1119.56	1151.06	497
GFI1	2672	20.56	10.63	9.34	13.52	60.82	30.56	22.59	52.08	29.27	0	8.19
CBX1	10951	1745.2	1883.54	1628.26	3303	796.86	2271.4	1628.26	1844.76	2720.15	2417.67	1709.26
SMCO2	341346	2.43	0	102.97	0.66	19.39	0	0	0	0	0	0.88
ACTR2	10097	1769.57	1059.11	2720.15	1977.24	1819.35	2119.22	1268.46	1757.34	1794.29	1175.27	2178.83
AP2A2	161	974.5	1081.39	218.79	842.36	563.18	902.89	1487.87	1111.82	921.88	1191.69	854.13
FTL	2512	155870.75	185362.8	10883.59	129266.49	35856.82	84109.6	99333	65082.31	119776.72	167058.21	139508.13
ZDHHC6	64429	507.46	665.29	483.38	447.82	547.75	612.11	813.63	896.64	497	743.43	444.72
GNL3	26354	2400.97	1304.15	1794.29	1119.56	2739.08	791.35	1015.93	1127.35	947.83	1437.15	2148.82
FGFR4	2264	80.01	176.29	6.52	260.38	34.75	115.97	17.77	127.89	17.64	231.32	84.63
AMPD2	271	1127.35	1369.04	229.72	693.58	450.94	599.49	1023	764.36	872.1	1304.15	723.08
SPTBN4	57731	71.5	102.25	6.89	148.09	3.56	19.68	31.22	19.97	40.36	90.77	29.48
GABRB3	2562	22.92	14.45	49.91	172.65	99.43	38.95	244.57	182.55	63.45	4.5	22.43
LRRC15	131578	2.53	8.32	67.59	153.34	78.89	9.27	3.86	0.62	10.88	30.34	2.56
EPC2	26122	525.39	486.75	78.34	493.56	323.03	708.18	303.44	551.56	595.34	579.04	591.22
CLSTN1	22883	1322.37	1832.01	3690.52	5672.41	4639.29	2520.38	1870.53	1745.2	3443.31	1923.14	981.29
C18orf54	162681	30.78	33.54	18.43	25.35	8	53.95	47.84	52.82	34.02	48.87	39.79
RSPH9	221421	25.54	19.39	10.24	25.17	6.89	62.12	56.68	214.27	24.11	25.91	38.4
INMT-FAM188B	11185	10.63	3.29	5.59	15	0	11.47	0	8.45	0	2.81	7.82
KRAS	3845	249.73	59.97	802.41	182.55	483.38	226.54	175.07	228.13	221.86	70.51	332.14
ZNF324B	388569	84.63	96.01	47.5	128.79	64.34	140.04	134.3	256.78	115.97	48.18	88.26
SERPINE1	5054	438.59	341.51	334.46	256.78	114.36	769.69	70.01	165.57	239.52	281.09	607.87
CST2	1470	122.64	0	0	74.06	0	8.45	490.14	30.56	2061.24	0	176.29
NDUFS8	4728	4512.4	3349.13	2400.97	3081.75	3515.68	3039.3	3325.99	3280.18	3146.52	2255.7	4358.66
PRKCB	5579	54.33	70.01	14.03	237.86	214.27	224.97	59.97	75.64	256.78	48.52	71
LY96	23643	309.83	688.78	120.1	1167.14	108.14	559.28	591.22	417.77	1073.91	470.14	420.68
LY75-CD302	4065	0	0	0	0	0	0	0	0	0	0	0
TFB1M	51106	190.34	361.04	607.87	194.36	638.15	144.01	267.73	287.01	191.67	244.57	190.34
CLU	1191	71219.26	17197.56	665.29	434801.29	1304.15	40341.14	2729110.67	343510.77	50709.61	10959.3	168220.2
SPATA18	132671	32.59	316.37	312	98.73	384.34	44.25	2485.67	5112.16	80.01	384.34	78.89
MRAP2	112609	42.71	20.56	738.29	202.66	529.06	327.56	186.4	884.29	59.13	6.94	170.25
VOPP1	81552	1508.65	1242.34	525.39	1685.71	785.88	1883.54	1662.49	1794.29	2032.85	1697.45	1417.35
NFKBID	84807	135.24	231.32	70.51	121.79	114.36	120.1	193.01	142.01	103.69	217.27	82.87
PSENEN	55851	5995.9	3039.3	4802.93	4481.23	4095	2061.24	7749.1	8901.53	4010.71	2400.97	4419.52
SLCO4C1	353189	0	0	0	0	0	0.91	47.84	0.85	0	0	0
BLOC1S5-TXNDC5	0	0	0	0	20.11	0	52.82	0	0	0	0	0
FKBP8	23770	4903.87	15715.58	5441.3	6699.25	5594.3	8305.36	8963.45	7382.04	7032.37	14461.21	4671.57
FCHSD1	89848	180.02	438.59	426.57	175.07	155.5	273.37	327.56	275.28	361.04	483.38	148.09
CTD-2410N18.5	0	6.41	0	0	5.36	5.96	3.11	0	8.19	0	0	3.76
ASAH2B	653308	57.89	23.93	66.65	43.02	92.05	43.02	79.45	158.79	63	22.92	90.77
SLC22A13	9390	0.12	0.78	3.29	1.99	1.85	0.61	1.68	1.89	0.13	0	0
C16orf71	146562	37.85	10.24	3.72	7.06	18.03	26.47	373.81	1977.24	14.56	34.51	2.81
ZBTB7C	201501	67.12	127	14262.1	165.57	13872.08	571.05	336.79	1059.11	76.71	40.07	231.32
SENP8	123228	27.84	51.35	57.49	50.27	55.49	26.1	58.3	71	48.18	41.22	51.71
GAS8	2622	356.05	703.28	363.56	314.17	384.34	301.33	688.78	1191.69	301.33	651.58	305.55
ZDBF2	57683	206.94	29.91	0.42	36.79	0.91	88.88	60.82	128.79	35	48.52	353.59
TRAPPC11	60684	336.79	400.71	356.05	341.51	318.57	423.61	307.69	287.01	366.09	361.04	346.29
GRIA1	2890	4.28	2.01	0	6.89	0.28	15.22	1.3	2.56	6.46	3.2	6.31
TMEM52	339456	28.65	4.54	258.57	11.64	132.44	13.93	59.13	122.64	12.09	15.11	12.64
NCALD	83988	142.01	42.11	11.13	860.08	14.78	295.11	228.13	1225.22	2018.8	19.82	3564.78
MRPL46	26589	470.14	583.07	486.75	358.54	764.36	384.34	603.67	579.04	463.65	432.53	595.34
VWA8	23078	88.88	150.17	101.54	100.13	83.45	127	139.07	312	98.73	83.45	104.42
CDK17	5128	334.46	409.15	320.8	201.25	220.32	356.05	229.72	258.57	358.54	457.25	336.79
ETV2	2116	74.58	56.28	161.02	131.51	172.65	77.25	39.79	97.36	37.59	47.17	132.44
PCK1	5105	32.82	36.27	0	0.16	4.28	36.79	0.95	16.88	1.69	3.56	96.01
CCL26	10344	45.85	32.13	148.09	72.52	201.25	189.02	50.27	26.1	221.86	8.25	115.16
BLVRA	644	2319.15	2104.58	1757.34	1697.45	2004.85	1674.06	1628.26	1662.49	2609.3	1781.89	2351.53
NIPBL	25836	476.71	540.19	373.81	414.87	612.11	583.07	567.1	536.45	514.56	559.28	406.31
FREM1	158326	34.51	12.55	2.34	759.08	32.36	136.19	16.51	54.72	115.97	1.93	74.06
NCAM2	4685	127	87.65	57.08	656.11	28.65	420.68	61.25	72.52	182.55	75.11	339.14
STOML1	9399	463.65	348.71	301.33	633.73	379.04	432.53	334.46	379.04	432.53	307.69	332.14
GDPGP1	390637	85.22	25.17	132.44	72.52	53.57	82.29	120.94	105.89	45.85	25.17	108.14
PRSS16	10279	102.97	204.07	791.35	166.73	583.07	58.3	896.64	708.18	24.28	271.48	165.57
TULP1	7287	3.38	17.13	2.36	22.75	20.86	6.57	4.74	4.98	1.69	26.1	4.43
CABLES2	81928	109.66	154.42	102.25	71	50.63	54.33	57.49	67.59	63.89	93.35	105.89
ACTR10	55860	2090.03	2163.77	1331.57	1651	2032.85	1806.78	1519.15	1286.18	1628.26	2133.97	2485.67
FLYWCH1	84256	575.03	1119.56	591.22	674.59	759.08	620.67	703.28	575.03	1135.2	961.07	616.37
IRF8	3394	114.36	48.18	105.89	323.03	115.97	221.86	536.45	518.15	74.06	58.3	135.24
RP11-45M22.4	0	2.56	6.06	0	9.93	1.1	8.71	12.93	16.03	17	5.36	6.26
LONRF1	91694	323.03	620.67	140.04	312	1051.79	674.59	532.74	579.04	579.04	1059.11	493.56
PSMB8	5696	3124.78	961.07	5366.37	1340.84	2520.38	842.36	2400.97	1175.27	1605.83	684.02	3103.19
RP11-690P14.4	0	1.64	0	1.48	3.66	1.97	4.5	4.5	3.53	3.92	1.75	3.23
ANKRD62	342850	0	0.39	46.5	0	1.03	0.96	0	0.4	0	0.38	0
PPM1F	9647	591.22	329.84	121.79	559.28	165.57	518.15	490.14	175.07	395.18	358.54	423.61
C4orf46	201725	102.25	34.26	90.14	78.89	51.71	115.97	57.49	77.79	155.5	84.63	149.12
RYR1	6261	2.27	25.91	4481.23	133.36	2758.13	50.27	1594.73	108.14	6.01	75.11	214.27
NSD1	64324	218.79	108.9	224.97	155.5	239.52	158.79	141.02	180.02	197.09	163.28	201.25
NKG7	4818	902.89	16.51	775.05	684.02	417.77	119.26	211.31	149.12	327.56	18.84	703.28
RAB40AL	282808	0	0.28	0	0	0	1.43	1.71	0	1.27	0	0.17
SLC35A3	23443	221.86	75.64	860.08	182.55	620.67	363.56	412	890.44	303.44	153.34	283.05
FMO3	2328	6.16	25.54	3.11	5.41	5.15	16.51	13.32	205.5	12.45	12.55	72.52
PRF1	5551	73.03	9.7	177.53	82.29	149.12	59.55	134.3	66.18	127	0.35	60.82
EEF2K	29904	435.55	620.67	148.09	447.82	426.57	1233.75	651.58	802.41	571.05	656.11	551.56
ASMT	438	2.41	7	0	4.39	5.59	3.99	1.87	4.31	2.94	6.73	3.79
TDRD9	122402	11.47	17.64	0	3.79	5.02	387.02	181.28	19.39	128.79	29.27	0.56
IL12A	3592	5.96	16.27	22.26	3.26	38.4	6.46	20.41	35.5	0.19	6.16	4.66
SUFU	51684	305.55	181.28	713.11	521.76	303.44	320.8	305.55	303.44	275.28	193.01	275.28
VWCE	220001	136.19	1073.91	2.58	15.34	4.06	113.56	400.71	186.4	2895.31	872.1	20.11
SPCS2	9789	11112.3	4358.66	3372.43	9808.75	4038.61	5913.33	5913.33	6337.83	6121.9	5041.77	8718.32
GDPD4	220032	0	0	0	3.69	5.02	1.08	3.96	0	0.18	0	0
ALDH8A1	64577	15.45	0.93	3.23	9.78	1.27	46.18	11.55	48.18	4.9	3.76	10
ENG	2022	5594.3	1561.89	503.95	4481.23	1242.34	3665.02	3690.52	1721.16	3928.15	1594.73	7966.99
TNNI1	7135	0.97	2.73	20.71	0.75	17.51	23.25	4.58	9.48	18.03	0.92	2.43
ZNF18	7566	100.83	133.36	175.07	193.01	366.09	183.82	189.02	178.77	226.54	171.45	133.36
RIBC1	158787	21.78	56.28	19.82	165.57	23.76	55.49	329.84	2047	55.49	57.08	57.89
CD274	29126	69.52	64.8	197.09	12.74	31	15.45	41.81	41.22	30.78	22.59	79.45
TGFA	7039	17.77	25.35	6164.49	57.89	3515.68	28.65	144.01	595.34	26.67	14.24	43.94
MAPRE3	22924	341.51	1015.93	119.26	532.74	109.66	248	718.08	872.1	303.44	656.11	265.87
STOML2	30968	3665.02	2367.9	2555.58	2255.7	2976.74	2004.85	2224.63	2163.77	2224.63	1498.22	2935.74
PLEKHM2	23207	896.64	896.64	915.51	775.05	764.36	836.53	947.83	684.02	1561.89	836.53	854.13
MARCKSL1	65108	11189.6	4298.64	1216.75	8421.31	1167.14	6121.9	5255.91	5672.41	19754.96	6745.86	6516.03
SEPT14	346288	0	0	0	1.22	0	0	0	1.14	0	0	0
DHCR7	1717	387.02	339.14	2240.11	159.9	1199.98	165.57	346.29	329.84	211.31	316.37	343.89
SLC25A4	291	703.28	733.19	228.13	441.64	197.09	802.41	325.29	447.82	351.14	435.55	872.1
EXOC1	55763	325.29	708.18	860.08	470.14	775.05	483.38	567.1	536.45	395.18	708.18	332.14
NCMAP	400746	2.71	2.68	0	5.68	2.97	63	656.11	7180.15	2.76	0	47.84
MAPK10	5602	170.25	332.14	115.97	1397.83	723.08	305.55	336.79	358.54	1923.14	764.36	142.01
LRRC4C	57689	103.69	555.41	2.94	211.31	66.65	1350.18	166.73	107.38	125.24	1487.87	71
SMO	6608	718.08	1208.34	132.44	1583.71	389.72	902.89	1605.83	842.36	1651	1651	476.71
RBM5	10181	1757.34	3212.66	1030.12	1963.57	1662.49	1721.16	2555.58	2915.45	1806.78	2997.45	1733.13
SIGLEC14	100049587	23.08	3.03	5.63	15.68	15.68	5.63	80.01	16.39	14.78	4.43	42.11
KRTAP1-5	83895	1.25	25.17	9.85	5.96	27.64	16.27	38.4	40.36	6.16	54.33	0
C9orf72	203228	169.07	432.53	169.07	141.02	175.07	157.68	409.15	389.72	275.28	417.77	195.72
ACSL5	51703	785.88	128.79	356.05	314.17	808	193.01	3467.27	7966.99	507.46	152.28	967.76
UPF3A	65110	1023	1322.37	327.56	785.88	872.1	1304.15	1199.98	1519.15	753.83	1322.37	1037.29
BRS3	680	0.71	0	0	0.72	0.97	0.72	0	0	0	1.1	0.92
PXDN	7837	56.68	483.38	2.86	299.25	5.06	486.75	127.89	136.19	366.09	269.6	96.01
PPIL1	51645	791.35	447.82	718.08	567.1	669.92	532.74	256.78	429.54	638.15	444.72	748.61
NT5C3B	115024	1794.29	2351.53	223.41	733.19	703.28	1088.92	1870.53	1167.14	1498.22	2451.44	1806.78
SCN9A	6335	10.63	8.51	0.21	66.65	4.46	50.27	53.19	22.1	51.71	8.25	24.11
ANXA8L1	653145	2.94	0	573724.06	8.99	2343119.96	0	28328.16	5292.48	0	0	0
PM20D2	135293	318.57	199.85	85.22	183.82	120.1	217.27	221.86	226.54	122.64	178.77	493.56
EI24	9538	1923.14	1417.35	2417.67	1963.57	2104.58	2018.8	1183.45	1721.16	1572.76	1417.35	2178.83
TMEM132E	124842	41.52	2.29	0.8	31.45	17	18.29	17.51	20.26	67.59	5.92	8.19
ZNF23	7571	221.86	163.28	77.79	129.69	191.67	194.36	325.29	262.2	155.5	144.01	234.57
AAK1	22848	21.94	46.84	109.66	35.5	19.25	35.76	38.4	37.85	50.27	50.27	62.12
RP11-287D1.3	0	2.71	1.3	1.22	1.91	0.29	2.27	3.38	2.39	2.39	0.54	2.94
ZNF280B	140883	29.06	0	0.13	47.17	4.21	18.84	38.4	76.17	21.16	3.26	23.93
PLEKHG2	64857	295.11	242.88	79.45	638.15	67.12	723.08	332.14	237.86	872.1	441.64	267.73
STX17	55014	151.22	191.67	316.37	194.36	223.41	182.55	183.82	279.14	143.01	182.55	172.65
PPIL6	285755	267.73	218.79	6.21	47.84	68.07	162.14	1950	6792.79	289.02	262.2	97.36
FAM131A	131408	551.56	651.58	297.17	341.51	108.14	420.68	234.57	260.38	297.17	497	718.08
CCDC153	283152	69.52	21.63	133.36	49.21	55.89	110.43	575.03	1806.78	45.21	69.03	28.24
ATP6V1E1	529	4010.71	4152.18	3303	3060.45	3443.31	3540.14	2417.67	2682.69	3820.7	3690.52	4239.45
PCDHA8	56140	1.31	0	0	1.43	0	1	0.57	6.67	1.75	2.03	0
TMEM26	219623	19.97	38.95	8.65	63.45	107.38	68.55	42.71	368.65	161.02	126.12	16.63
AADAT	51166	63.45	656.11	6.06	153.34	9.34	78.89	187.71	92.7	171.45	656.11	57.89
DOCK2	1794	50.63	55.89	29.91	127.89	137.14	132.44	262.2	126.12	47.5	21.94	54.72
SYNGAP1	8831	438.59	267.73	105.89	392.44	68.55	255	325.29	376.41	287.01	264.03	237.86
DCLRE1B	64858	84.63	49.56	91.41	92.05	52.45	90.14	68.07	87.65	74.06	47.17	95.34
PTP4A3	11156	3190.46	1697.45	34.02	1605.83	98.73	1651	265.87	312	371.22	511	4937.99
CDR2	1039	412	921.88	120.94	470.14	187.71	518.15	373.81	348.71	457.25	1023	490.14
STXBP1	6812	1001.93	1794.29	71	587.13	38.4	525.39	314.17	208.38	656.11	1963.57	1037.29
PPM1M	132160	483.38	2119.22	277.2	2255.7	748.61	1651	947.83	1359.57	967.76	1977.24	497
POLQ	10721	9.56	1.62	131.51	4.35	29.27	2.23	2.63	3.66	6.16	1.14	1.19
C12orf71	728858	0.93	0.92	1.14	1.19	12.18	0.85	1.25	3.79	4.54	2.34	0.21
ADD3	120	587.13	1088.92	896.64	1487.87	808	2303.12	2537.92	2664.15	967.76	1467.37	633.73
TUBA3C	7278	1.91	0.46	5.23	1.14	1.85	0.23	3.17	0.49	1.07	0.45	3.14
DUOXA2	405753	0.89	2.32	1388.16	0	54349.29	7.46	24.28	15.56	0	29.27	23.93
MBD1	4152	860.08	785.88	909.17	656.11	624.99	567.1	848.22	967.76	693.58	674.59	802.41
N4BP1	9683	429.54	1216.75	3060.45	234.57	2032.85	802.41	438.59	432.53	460.44	1216.75	353.59
KLHL31	401265	4.24	4.17	39.22	3.38	50.63	3.32	153.34	154.42	6.94	10.55	6.78
ATP6V0E2	155066	70.01	269.6	204.07	1023	503.95	669.92	532.74	2997.45	384.34	141.02	237.86
CXCL11	6373	2104.58	18.43	14262.1	14.45	31	0	8.85	0	6.67	8.51	1923.14
FGF7	2252	5555.65	2758.13	6.06	1167.14	103.69	2682.69	748.61	819.3	1883.54	4328.55	4512.4
MYOZ2	51778	1.57	2.43	0	2.86	0.77	12.93	2.46	4.86	2.63	0.74	1.48
CAPN3	825	199.85	392.44	153.34	212.78	198.47	85.82	409.15	201.25	181.28	318.57	171.45
STMND1	401236	0	0	0	0	0	0	5183.54	29531.18	54.72	19.25	15.22
MYO7A	4647	88.26	48.87	4.24	47.84	17.64	47.17	99.43	31.22	81.71	31	72.01
TNFRSF25	8718	128.79	392.44	860.08	307.69	733.19	153.34	733.19	848.22	187.71	162.14	154.42
CD22	933	56.28	146.03	33.54	35.76	105.15	127.89	135.24	277.2	28.45	48.52	26.86
AKNA	80709	514.56	1096.5	85.22	1832.01	309.83	684.02	612.11	723.08	555.41	1037.29	500.46
TOR1AIP2	163590	217.27	158.79	981.29	169.07	460.44	212.78	318.57	215.77	193.01	171.45	373.81
SIPA1L1	26037	193.01	379.04	647.07	172.65	476.71	432.53	633.73	473.41	285.03	255	275.28
UGP2	7360	1551.09	1769.57	1617	1477.58	1685.71	1806.78	1617	1709.26	1551.09	1628.26	1745.2
ATP5EP2	0	63.45	47.84	45.85	0	59.97	31.9	34.26	53.95	17.9	19.25	46.18
GEMIN7	79760	769.69	189.02	961.07	438.59	693.58	532.74	612.11	555.41	571.05	246.28	665.29
TMPRSS13	84000	1.11	4.62	3955.48	8.06	2855.44	1.75	195.72	616.37	7.63	2.71	9.7
FAM106A	0	9.13	0.85	2.48	5.15	0.07	4.94	3.47	7.94	3.56	0.74	5.73
TRIM24	8805	102.97	229.72	176.29	429.54	305.55	423.61	169.07	417.77	381.68	201.25	212.78
ADORA1	134	30.78	17.38	18.03	109.66	8.45	36.53	18.84	55.89	76.71	6.57	65.72
P2RX7	5027	8.06	65.26	28.86	62.12	98.73	206.94	244.57	441.64	518.15	66.18	25.17
PDE1A	5136	796.86	665.29	8.32	1639.59	45.53	813.63	150.17	175.07	1757.34	559.28	802.41
AC087477.1	0	1.57	0	0	1.73	0	5.45	1.81	3.23	1.51	1.58	0
TDRD6	221400	18.56	0.71	10.39	36.27	7.75	38.12	39.5	20.86	39.79	0.85	11.47
IFNE	338376	0	0	1639.59	0	323.03	6.84	723.08	248	11.13	0	0
ZNF45	7596	111.21	40.93	72.52	156.59	162.14	204.07	132.44	255	215.77	76.71	134.3
UCP2	7351	896.64	291.04	490.14	1794.29	684.02	1359.57	6887.62	18689.27	718.08	323.03	1977.24
CXorf30	645090	23.59	0	0	0	0	0	1119.56	15499.21	0	7.06	3.03
SCD5	79966	1286.18	909.17	231.32	1457.23	371.22	1457.23	728.11	854.13	1104.13	1001.93	1175.27
SSB	6741	3901.01	2240.11	669.92	2400.97	1769.57	2148.82	1781.89	1781.89	1870.53	2645.74	4181.07
IRF6	3664	100.13	111.99	38430.46	92.7	22072.07	140.04	1819.35	3212.66	87.65	107.38	102.97
C6orf25	80739	11.82	14.78	366.09	6.89	66.65	17.77	3.56	9.48	8	29.91	5.77
LRCH3	84859	579.04	483.38	92.7	511	373.81	532.74	251.48	454.09	348.71	540.19	392.44
FAM171A1	221061	974.5	199.85	0.43	1806.78	20.56	1322.37	947.83	476.71	2537.92	117.6	1051.79
SLC5A11	115584	3.69	0.43	1.19	1.66	0	0.47	6.73	4.62	0	3.82	1
ATXN7	6314	152.28	171.45	271.48	146.03	190.34	143.01	129.69	228.13	128.79	166.73	126.12
NEK7	140609	353.59	555.41	348.71	444.72	309.83	1001.93	417.77	503.95	607.87	738.29	599.49
FAM162B	221303	297.17	1674.06	18.97	463.65	42.41	343.89	511	275.28	218.79	1529.73	447.82
TRUB2	26995	830.75	432.53	674.59	587.13	928.3	511	718.08	674.59	599.49	397.93	693.58
IPO7	10527	1175.27	660.68	890.44	603.67	616.37	961.07	575.03	872.1	612.11	665.29	1605.83
MZF1	7593	444.72	366.09	239.52	444.72	271.48	269.6	638.15	775.05	267.73	323.03	361.04
ST14	6768	130.6	80.01	14065.74	228.13	6983.79	90.14	2417.67	2796.65	105.89	135.24	159.9
C16orf47	388289	11.13	0.88	0	2.05	0	4.1	2.16	2.43	2.43	0	15.22
RNF114	55905	1008.9	2004.85	1044.52	808	796.86	947.83	1529.73	1427.22	1015.93	1909.85	1216.75
CT45A4	441520	0	0	0	0	0	0	0	0	111.99	0	0
MMAB	326625	802.41	733.19	1769.57	884.29	1242.34	555.41	693.58	738.29	575.03	587.13	981.29
UBE2M	9040	2758.13	2935.74	2004.85	1709.26	1350.18	1268.46	1208.34	1175.27	1111.82	2434.5	2287.2
TDRP	157695	124.37	688.78	9.78	92.7	21.78	82.29	1250.98	1662.49	158.79	848.22	71.5
KRTAP4-1	85285	0	0	0	0	0	0	0	0	0	0	11.47
PHACTR3	116154	11.13	4.21	1.36	59.55	185.11	11.38	33.54	20.41	33.78	1.66	6.78
PKD2L2	27039	0.48	2.1	4.74	2.71	2.84	1.41	1.51	1.53	3.06	1.89	0.33
VPREB1	7441	7.88	0	0	0	0	0	0	0	0	0	0
CYP2J2	1573	31.67	110.43	2520.38	80.01	915.51	55.49	131.51	277.2	42.11	176.29	43.32
TNIP2	79155	974.5	620.67	660.68	529.06	693.58	599.49	1066.48	703.28	607.87	518.15	1030.12
BHLHE41	79365	114.36	2645.74	307.69	249.73	305.55	395.18	16496.96	11745.96	921.88	3190.46	133.36
SLC5A7	60482	1.43	12.18	0.38	2.73	0.58	2.84	3.38	1.46	3.53	9.41	1.95
FYB	2533	62.56	2.89	35.25	88.26	29.06	43.94	271.48	126.12	23.76	3.56	69.03
PCMTD1	115294	571.05	620.67	514.56	1191.69	486.75	1001.93	1159.07	1259.69	974.5	1127.35	909.17
SIT1	27240	33.78	3.47	182.55	65.72	237.86	68.55	114.36	88.26	21.47	0	31.67
FOXP4	116113	493.56	665.29	199.85	579.04	111.99	842.36	713.11	928.3	1457.23	518.15	902.89
GUCY1A3	2982	90.14	80.57	30.34	521.76	20.11	275.28	92.05	198.47	279.14	59.13	426.57
ZAR1L	646799	0	0	2.18	0	0	0	1.85	0	0	0	1.83
